x,y,z,Magnitude,Row_Mean
3.663735981263017e-17,-1.9567680809018383e-17,-4.884981308350689e-17,-4.332645353599673e-16,3.1086244689504386e-17
-2.2204460492503132e-17,1.27675647831893e-17,-5.773159728050814e-17,-4.58799664926346e-16,-2.2204460492503132e-17
-4.440892098500626e-18,-2.220446049250313e-18,-2.6645352591003756e-17,-2.597921877622866e-16,3.469446951953614e-17
-8.326672684688674e-18,-3.3306690738754695e-17,4.440892098500626e-18,-5.073719222536966e-16,1.3322676295501878e-17
-2.3314683517128286e-17,5.329070518200751e-17,1.9984014443252817e-17,8.870681966755001e-16,-3.9968028886505634e-17
-1.1657341758564143e-17,1.3322676295501878e-17,-3.3306690738754695e-18,-2.9198865547641616e-16,4.440892098500626e-18
-1.2212453270876722e-17,-5.10702591327572e-17,2.55351295663786e-17,5.88418203051333e-17,3.8857805861880476e-17
-1.7763568394002505e-17,-5.2180482157382354e-17,-4.218847493575595e-17,-1.7763568394002505e-17,3.219646771412954e-17
-2.0816681711721684e-18,-4.6074255521943994e-17,3.552713678800501e-17,4.585221091701896e-16,-1.5543122344752193e-17
-2.220446049250313e-18,-8.326672684688674e-19,2.6645352591003756e-17,-3.630429290524262e-16,-1.7763568394002505e-17
-1.3322676295501878e-17,-6.88338275267597e-17,-3.1086244689504386e-17,1.0880185641326534e-16,1.5543122344752193e-17
2.914335439641036e-18,7.327471962526034e-17,-4.4408920985006264e-17,4.241051954068098e-16,1.0547118733938987e-17
5.329070518200751e-17,-3.3306690738754695e-17,5.745404152435185e-17,3.4916514124461173e-16,-8.326672684688674e-19
-1.1102230246251566e-17,-7.049916206369744e-17,1.1102230246251566e-17,-3.1474822748123188e-16,-1.5543122344752193e-17
-1.7763568394002505e-17,4.9960036108132046e-17,9.159339953157542e-18,5.215793075219466e-16,3.7747582837255325e-17
-3.552713678800501e-17,2.2759572004815708e-17,0.0,5.329070518200751e-17,-1.3877787807814458e-18
-2.1094237467877975e-17,3.552713678800501e-17,2.220446049250313e-18,5.562217353372034e-16,1.5543122344752193e-17
-8.881784197001253e-18,-7.271960811294776e-17,-3.9968028886505634e-17,6.702971511174382e-16,3.3306690738754695e-17
-4.218847493575595e-17,-1.5543122344752193e-17,-2.6645352591003756e-17,-8.903988657493755e-16,2.886579864025407e-17
-3.552713678800501e-17,-1.0269562977782698e-17,2.1094237467877975e-17,9.925393840148899e-16,1.1102230246251566e-17
-5.887651477465283e-17,-4.773959005888173e-17,6.661338147750939e-18,5.928590951498336e-16,-2.4424906541753444e-17
-6.661338147750939e-17,-3.3029134982598406e-17,-2.220446049250313e-18,-5.151434834260726e-16,-1.3322676295501878e-17
1.0880185641326534e-16,3.8857805861880476e-17,-3.1086244689504386e-17,6.375455718909961e-16,-3.9968028886505634e-17
2.2204460492503132e-17,-1.1102230246251566e-17,1.3322676295501878e-17,-4.3742787170231167e-16,2.4424906541753444e-17
1.942890293094024e-18,-6.439293542825907e-17,6.661338147750939e-18,3.275157922644212e-16,-8.049116928532385e-17
-1.7763568394002505e-17,2.220446049250313e-18,6.661338147750939e-18,-7.460698725481052e-16,-3.3306690738754695e-17
2.4424906541753444e-17,1.1102230246251566e-17,-2.6645352591003756e-17,-6.522560269672794e-18,2.2204460492503132e-17
-2.498001805406602e-18,-1.9984014443252817e-17,-2.4424906541753444e-17,-2.0039525594484075e-16,-8.881784197001253e-18
-1.7763568394002505e-17,-6.661338147750939e-18,-2.359223927328458e-18,2.806782584130474e-17,2.886579864025407e-17
-5.717648576819556e-17,-2.3314683517128286e-17,-4.107825191113079e-17,1.5765166949677222e-16,1.6653345369377347e-17
-1.1102230246251566e-17,-2.2204460492503132e-17,3.1086244689504386e-17,3.9968028886505636e-16,-7.216449660063518e-18
-1.9984014443252817e-17,5.995204332975846e-17,5.995204332975846e-17,-3.307076834602185e-16,1.0547118733938987e-17
-1.7763568394002505e-17,2.636779683484747e-18,3.3306690738754695e-18,-5.684341886080802e-16,2.6367796834847467e-17
4.4408920985006264e-17,3.3306690738754695e-17,1.4432899320127036e-17,5.695444116327053e-16,6.38378239159465e-18
-1.4432899320127036e-17,2.997602166487923e-17,-1.3322676295501878e-17,-3.838596107641479e-16,-2.4424906541753444e-17
-8.104628079763643e-17,-3.1086244689504386e-17,-6.106226635438361e-18,-3.3195668436292183e-16,-5.440092820663267e-17
-2.3314683517128286e-17,5.329070518200751e-17,-2.6645352591003756e-17,1.1990408665951691e-16,1.7763568394002505e-17
-2.3314683517128286e-17,-1.3322676295501878e-17,8.326672684688674e-17,4.246603069191224e-17,-2.220446049250313e-18
3.552713678800501e-17,-1.4432899320127036e-17,2.220446049250313e-18,-9.769962616701378e-17,-1.3322676295501878e-17
6.661338147750939e-17,-1.2212453270876722e-17,-1.5543122344752193e-17,-1.0491607582707729e-16,-4.4408920985006264e-17
2.886579864025407e-17,-4.4408920985006264e-17,5.995204332975846e-17,8.504308368628699e-16,1.7763568394002505e-17
-1.6653345369377347e-17,-4.683753385137379e-17,2.3314683517128286e-17,2.486899575160351e-16,3.219646771412954e-17
1.1102230246251566e-18,4.440892098500626e-18,-8.43769498715119e-17,5.506706202140776e-16,1.3322676295501878e-17
1.2490009027033011e-17,-2.2204460492503132e-17,-1.1102230246251566e-17,1.3433698597964394e-15,7.382983113757291e-17
-2.3314683517128286e-17,3.1086244689504386e-17,4.107825191113079e-17,2.78388423424758e-16,-5.2180482157382354e-17
-2.886579864025407e-17,2.3314683517128286e-17,-7.771561172376097e-18,-1.2156942119645464e-16,4.662936703425657e-17
-2.6645352591003756e-17,1.6653345369377347e-17,-4.5657921887709563e-17,4.2077452633293433e-16,-3.1086244689504386e-17
7.771561172376097e-18,5.329070518200751e-17,-4.440892098500626e-18,-5.884182030513329e-16,-6.866035517916202e-17
-1.3322676295501878e-17,-7.327471962526034e-17,-4.662936703425657e-17,2.0872192862952942e-16,-2.3314683517128286e-17
4.218847493575595e-17,1.1102230246251566e-18,-3.497202527569243e-17,-2.765843110097421e-16,2.55351295663786e-17
3.1086244689504386e-17,-5.0515147620444624e-17,-1.7763568394002505e-17,-6.639133687258437e-16,8.881784197001253e-18
-5.2180482157382354e-17,4.3298697960381107e-17,-7.771561172376097e-18,-8.659739592076221e-17,-8.326672684688674e-19
-3.757411048965764e-17,1.609823385706477e-17,-2.831068712794149e-17,2.886579864025407e-16,1.7763568394002505e-17
4.662936703425657e-17,4.440892098500626e-18,0.0,4.063416270128073e-16,-2.4980018054066023e-17
-5.10702591327572e-17,0.0,-1.1102230246251566e-18,2.1538326677728036e-16,1.5543122344752193e-17
4.469894506614613e-18,-5.551115123125783e-17,1.1102230246251566e-17,7.09432512735475e-16,-5.689893001203927e-17
-2.4424906541753444e-17,2.2204460492503132e-17,-5.10702591327572e-17,7.993605777301127e-17,-3.552713678800501e-17
5.412337245047638e-18,1.1357017756785659e-17,8.881784197001253e-18,-2.350203365253378e-16,4.440892098500626e-18
-4.440892098500626e-18,7.16093850883226e-17,1.0963452368173421e-17,3.530509218307998e-16,-1.7763568394002505e-17
0.0,3.9968028886505634e-17,3.3306690738754695e-18,-3.552713678800501e-17,6.550315845288423e-17
-4.218847493575595e-17,-5.2735593669694933e-17,-1.1102230246251566e-17,7.771561172376095e-17,-8.049116928532384e-18
1.9984014443252817e-17,7.105427357601002e-17,1.9984014443252817e-17,8.659739592076221e-17,-4.5519144009631415e-17
-1.9984014443252817e-17,2.2204460492503132e-17,2.2204460492503132e-17,-9.769962616701378e-17,-1.609823385706477e-17
4.662936703425657e-17,4.5241588253475126e-17,4.4408920985006264e-17,7.599476603559196e-16,1.9984014443252817e-17
-2.220446049250313e-18,5.10702591327572e-17,-2.3869795029440865e-17,-4.884981308350689e-16,-2.4424906541753444e-17
5.551115123125783e-17,2.4424906541753444e-17,2.2204460492503132e-17,3.0142555118573e-16,2.4424906541753444e-17
1.3322676295501878e-17,1.3322676295501878e-17,-4.440892098500626e-18,-2.575717417130363e-16,-2.6645352591003756e-17
-2.997602166487923e-17,1.5543122344752193e-17,-4.3298697960381107e-17,-2.2051804826617173e-16,-1.3322676295501878e-17
-4.662936703425657e-17,-2.6645352591003756e-17,4.3298697960381107e-17,-1.9040324872321436e-16,2.4424906541753444e-17
4.218847493575595e-17,2.220446049250313e-18,-3.1086244689504386e-17,-5.195843755245732e-16,0.0
1.5543122344752193e-17,1.3322676295501878e-17,-3.9968028886505634e-17,1.609823385706477e-16,-5.329070518200751e-17
3.497202527569243e-17,8.881784197001253e-18,-2.2204460492503132e-17,4.39648317751562e-16,7.771561172376097e-18
2.3314683517128286e-17,-3.1086244689504386e-17,2.886579864025407e-17,-2.273181642920008e-16,-1.3322676295501878e-17
-3.7747582837255325e-17,2.4424906541753444e-17,-2.6645352591003756e-17,7.327471962526034e-17,1.8873791418627663e-17
-1.1102230246251566e-17,-3.3306690738754695e-17,-3.9968028886505634e-17,1.7763568394002506e-16,3.608224830031759e-17
8.881784197001253e-17,1.7763568394002505e-17,0.0,-5.551115123125783e-19,-4.884981308350689e-17
-6.217248937900877e-17,4.052314039881821e-17,-3.7747582837255325e-17,-3.083644450896372e-16,-1.5543122344752193e-17
4.662936703425657e-17,-4.5519144009631415e-17,-8.881784197001253e-17,1.2434497875801754e-16,1.1102230246251566e-17
-5.995204332975846e-17,-1.7763568394002505e-17,-3.552713678800501e-17,-6.283862319378386e-16,-1.4432899320127036e-17
-2.6645352591003756e-17,3.7192471324942746e-17,-1.1102230246251566e-17,9.749145934989656e-18,-1.7763568394002505e-17
1.1102230246251566e-18,5.773159728050814e-17,3.1086244689504386e-17,-9.076073226310655e-17,-3.552713678800501e-17
-2.6645352591003756e-17,-1.1102230246251566e-17,-1.5543122344752193e-17,7.327471962526034e-17,-3.136380044566067e-17
-2.6645352591003756e-17,-3.7747582837255325e-17,-1.5543122344752193e-17,1.5432100042289675e-16,8.881784197001253e-17
-4.440892098500626e-18,-3.1086244689504386e-17,-2.8727020762175923e-17,-1.9095836023552692e-16,4.149458554536523e-17
2.7755575615628915e-18,-4.440892098500626e-18,3.0808688933348097e-17,-1.354472090042691e-16,3.1086244689504386e-17
-2.220446049250313e-18,-2.220446049250313e-18,-3.9412917374193055e-17,-3.641531520770513e-16,-8.881784197001253e-18
2.886579864025407e-17,-2.7755575615628914e-17,-9.992007221626408e-18,-1.532107773982716e-16,3.552713678800501e-17
4.440892098500626e-18,-7.840950111415167e-18,5.773159728050814e-17,-5.195843755245732e-16,-5.134781488891349e-18
-6.349087922075114e-17,8.881784197001253e-18,5.329070518200751e-17,-4.679590048795035e-16,-3.3306690738754695e-17
7.882583474838611e-17,-2.997602166487923e-17,3.9968028886505634e-17,-1.809663530139005e-16,7.771561172376095e-17
-2.886579864025407e-17,0.0,1.3322676295501878e-17,7.355227538141662e-17,3.1086244689504386e-17
-1.9984014443252817e-17,-3.9968028886505634e-17,1.3322676295501878e-17,3.282096816548119e-16,3.441691376337985e-17
5.329070518200751e-17,7.771561172376095e-17,-3.1086244689504386e-17,-7.327471962526034e-17,4.440892098500626e-18
7.771561172376097e-18,1.1102230246251566e-17,-3.354955202539145e-17,-1.2434497875801754e-16,4.660334618211692e-17
0.0,-1.8873791418627663e-17,-1.1102230246251566e-18,4.574118861455645e-16,1.9428902930940238e-17
2.220446049250313e-18,-1.3322676295501878e-17,-1.3322676295501878e-17,-4.241051954068098e-16,-3.441691376337985e-17
8.881784197001253e-18,0.0,2.067790383364354e-17,-2.9753977059954197e-16,-2.6645352591003756e-17
-3.552713678800501e-17,-2.1094237467877975e-17,4.3298697960381107e-17,-4.443667656062189e-16,5.5094817597023396e-17
-4.4408920985006264e-17,6.661338147750939e-17,4.884981308350689e-17,2.914335439641036e-16,-1.2212453270876722e-17
-2.6645352591003756e-17,-1.7763568394002505e-17,0.0,5.662137425588298e-17,-1.9984014443252817e-17
